ImageName,Bicycle,Bridge,Bus,Car,Chimney,Crosswalk,Hydrant,Motorcycle,Other,Palm,Stair,Traffic Light
03000.png,-1.762441,-1.2791418,1.2840337,6.731563,-1.6215688,-2.1192446,-2.8267376,-0.27659386,2.642461,0.2589565,-0.8669645,-1.4725147
03001.png,-2.607877,-0.1015027,-2.0803463,5.9785748,-2.4520679,0.8176177,-4.688089,-1.9158269,4.8824906,-0.59298664,-2.1288273,1.635875
03002.png,-2.8702705,0.13371421,0.066003814,10.188698,-3.2655237,1.2658565,-5.5514345,-0.75068426,1.289408,0.21815145,-2.3279314,-0.2154393
03003.png,-0.7078744,-1.6971085,9.381205,0.0711928,-1.7895044,-1.317645,-2.9923413,-0.5751008,-1.021974,-0.08620121,-1.0969847,-2.2614515
03004.png,-0.61229795,-1.5549706,0.58703744,4.287067,-1.994973,-0.023012165,-2.0679386,0.09103006,2.7923484,-1.8258723,-2.1425962,-1.8200963
03005.png,-2.7107353,-0.6510019,-0.42167574,8.897527,-3.1358202,-0.20598474,-5.4353013,-1.2295685,1.8742635,4.0142536,-2.2196348,0.4076444
03006.png,-2.4487884,-0.4022287,-0.62724644,9.424366,-3.111919,-0.22846499,-5.863219,-1.3612258,2.26266,1.7142105,-1.8102411,0.605623
03007.png,-3.9569588,0.6558404,0.8322042,8.479422,-2.7372544,-1.6839437,-4.4634633,-1.8090107,3.4432101,0.2567888,-2.2232654,-0.038781118
03008.png,10.115849,-3.2500408,-1.4214023,0.06544595,-2.207414,0.5327074,-2.2005155,1.370266,0.12923844,-1.3251177,-0.0682964,-1.5124506
03009.png,-3.310964,0.51388144,-0.49508566,8.425997,-3.293394,2.034993,-4.6887364,-0.9736989,-0.16757391,-0.19485344,-3.1447835,3.3812497
03010.png,-1.2523302,-0.95228803,8.334137,1.7246712,-2.1133814,-1.5007123,-2.5121589,-0.21788362,-0.51529866,-1.5327468,-1.1641704,-2.4625857
03011.png,-1.3125215,0.21757995,0.41643775,8.634208,-2.9123864,0.2560877,-5.345411,0.26685518,-0.3827777,0.03155312,-1.6938171,-0.40012124
03012.png,-3.297056,0.395361,2.0091445,9.561155,-3.0648952,-1.3848442,-4.3440185,-0.65469116,1.6196309,-0.18973637,-1.8309675,-1.7278916
03013.png,-2.4754972,0.6101454,-0.55075186,3.415764,-0.8512066,-0.5469487,-3.2035356,-2.1673002,6.622717,-0.56750435,-1.2686908,-0.48941565
03014.png,-2.637215,0.4322487,-1.3321074,7.921832,-2.1609106,-0.95477754,-4.7384586,-1.255359,3.0862708,0.5526299,-1.2689579,0.027500752
03015.png,-2.9399633,-1.1536393,-1.7866774,3.852519,-0.7772105,-2.0810835,-4.2014694,-1.9173105,4.8462963,5.057496,-0.5969748,0.64726514
03016.png,-1.3815999,-2.1627872,9.647081,0.4374772,-1.3230592,-1.7700987,-3.0529983,-0.02230074,-0.48272166,-0.84229976,-1.216024,-2.5583577
03017.png,-2.4358282,8.227627,-0.5658506,1.9899232,-0.6608593,-0.760011,-3.3238497,-1.2907977,2.427993,-0.9619845,-1.24568,-0.749983
03018.png,-0.15124767,-1.6391577,-1.5744686,1.024988,-2.1356862,9.730829,-1.9125601,-0.85856307,-0.5452112,-2.5757282,-2.178454,-0.16515845
03019.png,0.30764383,-1.4983482,-1.4891595,0.32202595,-1.994511,9.906286,-1.9763687,-0.68727237,-0.96742487,-2.6694288,-1.6767999,-0.012275513
03020.png,0.43180573,-2.040249,-1.4721501,-1.0837713,-2.1865923,9.481847,-0.90295565,-1.6095324,-0.55340487,-1.7300262,-1.7335142,0.25105312
03021.png,-2.521431,0.100173205,7.917539,0.43842873,-0.51809186,-1.7175975,-2.903899,-0.49730965,1.1570995,-0.8976299,-1.1776661,-2.3699255
03022.png,-3.2815907,-0.69371647,-2.1416607,6.5979853,-1.9825753,-0.70848095,-4.7643805,-2.0770888,5.728667,2.0897894,-2.4221978,1.2951571
03023.png,-3.7757566,-0.24632667,-2.144436,1.3101114,-0.9317846,-0.33801872,-2.6466913,-2.0385287,0.8722539,0.30675477,-1.2681979,7.8655014
03024.png,-3.902005,0.5975185,-0.9667185,9.589194,-2.8931696,-1.1851025,-4.87389,-1.3612962,3.464152,0.54793334,-2.7502244,0.8384002
03025.png,-2.6866834,-0.76958907,0.5524801,5.530023,-0.9288177,-2.9701643,-3.9995918,-1.4148132,4.6870074,2.394493,-0.5970586,-1.2564867
